,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_54,KLF_54,gut,54,New Bedford Harbor,2.73,6.3,0.1701,M,wild,New Bedford Harbor wild,54,0,none,2,bright,intact,3/12/21,Run1,,87893,75936,75287,75298,73635,70959,0.80733391737681,0.383038092419566,FALSE
KLF_71,KLF_71,gut,71,New Bedford Harbor,2.578,6,0.1601,M,wild,New Bedford Harbor wild,71,1,bright,2,bright,het,3/12/21,Run1,,121516,94801,93154,93293,90578,88998,0.732397379768919,0.089406503516933,FALSE
KLF_222,KLF_222,gut,222,New Bedford Harbor,3.871,6.6,0.197,M,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,,120733,103500,103284,103425,102890,102587,0.849701407237458,0.0585259340852155,FALSE
KLF_103,KLF_103,gut,103,Scorton Creek,2.279,4.8,0.222,F,F2,Scorton Creek F2,,0,none,0,none,none,8/25/21,Run2,,112899,96940,96730,96691,95812,94810,0.839777145944605,0.0750870161375382,FALSE
KLF_1,KLF_1,gut,1,Scorton Creek,2.11,5.8,0.104,M,wild,Scorton Creek wild,1,1,faint,1,faint,het,3/11/21,Run1,,145010,113475,113131,113100,111305,109186,0.752954968622854,0.00089755096807283,FALSE
KLF_21,KLF_21,gut,21,Scorton Creek,3.1394,6.3,0.28,M,wild,Scorton Creek wild,21,1,faint,1,faint,het,3/12/21,Run1,,129839,103026,102920,102910,101920,101195,0.779388319380155,0.000177874400909136,FALSE
KLF_5,KLF_5,gut,5,Scorton Creek,2.709,6.2,0.0646,M,wild,Scorton Creek wild,5,1,bright,1,bright,het,3/11/21,Run1,,143929,114634,113194,113204,110628,108435,0.753392297591173,0.00762668879974178,FALSE
KLF_15,KLF_15,gut,15,Scorton Creek,1.639,5.3,0.0765,M,wild,Scorton Creek wild,15,1,bright,1,bright,het,3/12/21,Run1,,130082,102366,102087,102112,100824,100049,0.769122553466275,0,FALSE
KLF_224,KLF_224,gut,224,New Bedford Harbor,3.817,5.2,0.265,F,F2,New Bedford Harbor F2,,1,bright,1,faint,het,8/25/21,Run2,,135058,115546,115447,115457,114843,114543,0.848102296791008,0.109600761286155,FALSE
KLF_7,KLF_7,gut,7,Scorton Creek,2.36,6.2,0.124,M,wild,Scorton Creek wild,7,1,bright,1,bright,het,3/11/21,Run1,,133239,102049,101682,101859,100770,100073,0.751078888313482,0,FALSE
KLF_2,KLF_2,gut,2,Scorton Creek,2.74,6,0.115,M,wild,Scorton Creek wild,2,1,medium,1,bright,het,3/11/21,Run1,,151674,121820,120407,120348,117492,115539,0.761758772103327,0.0157349466413938,FALSE
KLF_10,KLF_10,gut,10,Scorton Creek,3.888,6.8,0.3835,M,wild,Scorton Creek wild,10,0,none,0,none,none,8/24/21,Run1,,147783,119702,119354,119394,116355,105753,0.715596516514078,0.000321503881686572,FALSE
KLF_207,KLF_207,gut,207,New Bedford Harbor,2.847,5,0.2,M,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,135796,112487,112374,112287,111262,111219,0.819015287637338,0.187369064638236,FALSE
KLF_46,KLF_46,gut,46,New Bedford Harbor,3.392,6.6,0.2717,M,wild,New Bedford Harbor wild,46,1,faint,2,faint,het,3/11/21,Run1,,78410,60506,60009,60140,58598,58243,0.742800663180717,0.220696049310647,FALSE
KLF_77,KLF_77,gut,77,New Bedford Harbor,3.152,6.5,0.1135,M,wild,New Bedford Harbor wild,77,0,none,2,bright,intact,3/12/21,Run1,,119870,98167,97364,97473,95996,94885,0.79156586301827,0.670253464720451,FALSE
KLF_17,KLF_17,gut,17,Scorton Creek,4.221,7.4,0.1527,M,wild,Scorton Creek wild,17,1,medium,1,bright,het,3/12/21,Run1,,130915,101123,100772,100848,99581,98075,0.749150211969599,0.00219219984705582,FALSE
KLF_217,KLF_217,gut,217,New Bedford Harbor,3.56,5.3,NA,M,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,,148596,127861,127719,127759,126881,125917,0.847378125925328,0.0768204452139108,FALSE
