	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxonomy
ASV3731	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NA	NA	NA	o:Flavobacteriales
ASV3732	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	NA	NA	NA	o:Actinomarinales
ASV3733	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	NA	g:Oceanimonas
ASV3734	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	f:Solirubrobacteraceae
ASV3735	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Thermobacillus	NA	g:Thermobacillus
ASV3736	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA	g:Methanobacterium
ASV3738	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA	f:Micavibrionaceae
ASV3739	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA	g:Clostridium_sensu_stricto_1
ASV3740	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	c:Actinobacteria
ASV3741	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	kibberense	Ornithinimicrobium kibberense
ASV3742	Archaea	Halobacterota	Halobacteria	Halobacterales	Halomicrobiaceae	Natronomonas	NA	g:Natronomonas
ASV3743	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Haloferula	NA	g:Haloferula
ASV3744	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV3745	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV3746	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	f:Mitochondria
ASV3747	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	f:Mitochondria
ASV3748	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Arthrospira_PCC-7345	NA	g:Arthrospira_PCC-7345
ASV3749	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV3750	Bacteria	Elusimicrobiota	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	NA	g:Endomicrobium
ASV3751	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV3752	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	NA	g:Planctomicrobium
ASV3753	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	NA	g:Paenisporosarcina
ASV3754	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	f:JG30-KF-CM45
ASV3755	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	NA	g:Roseovarius
ASV3756	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	NA	NA	f:Microtrichaceae
ASV3757	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	NA	g:Roseibacillus
ASV3758	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA	g:Aquicella
ASV3761	Bacteria	Firmicutes	Moorellia	NA	NA	NA	NA	c:Moorellia
ASV3762	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	NA	g:Photobacterium
ASV3763	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	NA	g:Escherichia/Shigella
ASV3765	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV3766	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	NA	g:Planctomicrobium
ASV3767	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NA	NA	NA	o:Flavobacteriales
ASV3768	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	g:Coxiella
ASV3769	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	NA	g:Sva0996_marine_group
ASV3770	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	NA	g:Halobacillus
ASV3771	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	NA	NA	f:AB1
ASV3772	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA	NA	o:PeM15
ASV3774	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV3775	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	f:Solirubrobacteraceae
ASV3776	Bacteria	Desulfobacterota	Desulfuromonadia	Sva1033	NA	NA	NA	o:Sva1033
ASV3777	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	marinus	Erythrobacter marinus
ASV3778	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA	f:Rubinisphaeraceae
ASV3779	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	c:Actinobacteria
ASV3780	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA	g:Subgroup_10
ASV3781	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	g:Conexibacter
ASV3782	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	o:Elsterales
ASV3783	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA	g:Bythopirellula
ASV3784	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	g:Streptomyces
ASV3785	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	f:Isosphaeraceae
ASV3786	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus	NA	g:Desulforhopalus
ASV3787	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	B276-D12	NA	g:B276-D12
ASV3788	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA	g:Bythopirellula
ASV3789	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Thermoclostridium	NA	g:Thermoclostridium
ASV3790	Bacteria	Firmicutes	Clostridia	Clostridia_or	Gracilibacteraceae	Lutispora	NA	g:Lutispora
ASV3791	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	f:Nitrososphaeraceae
ASV3792	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA	NA	f:Hyphomicrobiaceae
ASV3793	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV3794	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	f:Oxalobacteraceae
ASV3795	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	g:Sulfurimonas
ASV3796	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	g:Lactobacillus
ASV3797	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	g:Bdellovibrio
ASV3798	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter	antarcticus/pelagius	Maribacter antarcticus/pelagius
ASV3799	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA	f:Rubinisphaeraceae
ASV3800	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA	f:DEV007
ASV3801	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA	p:Margulisbacteria
ASV3802	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	NA	NA	f:Solimonadaceae
ASV3803	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV3804	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Kistimonas	NA	g:Kistimonas
ASV3806	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV3807	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA	g:Bythopirellula
ASV3808	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfopila	NA	g:Desulfopila
ASV3809	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	f:67-14
ASV3810	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV3811	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA	g:Bythopirellula
ASV3812	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA	NA	o:S085
ASV3813	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	g:Lactobacillus
ASV3814	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV3815	Bacteria	Proteobacteria	Gammaproteobacteria	Run-SP154	NA	NA	NA	o:Run-SP154
ASV3817	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Bauldia	NA	g:Bauldia
ASV3818	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA	f:Halieaceae
ASV3819	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV3820	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	NA	g:Filomicrobium
ASV3821	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA	g:Fuerstia
ASV3822	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	f:Vermiphilaceae
ASV3824	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA	NA	f:Desulfosarcinaceae
ASV3825	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	NA	g:Planktomarina
ASV3826	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA	g:Mycoplasma
ASV3827	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA	g:Bythopirellula
ASV3828	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	NA	g:Planctomicrobium
ASV3829	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	f:Solirubrobacteraceae
ASV3830	Bacteria	Firmicutes	Incertae_Sedis	DTU014	NA	NA	NA	o:DTU014
ASV3831	Bacteria	Firmicutes	NA	NA	NA	NA	NA	p:Firmicutes
ASV3832	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	NA	g:Amycolatopsis
ASV3833	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA	o:WCHB1-41
ASV3834	Bacteria	Verrucomicrobiota	NA	NA	NA	NA	NA	p:Verrucomicrobiota
ASV3835	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA	NA	f:Desulfosarcinaceae
ASV3837	Bacteria	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	NA	g:Candidatus_Tenderia
ASV3838	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA	g:Erysipelothrix
ASV3839	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA	f:Mycoplasmataceae
ASV3840	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	NA	NA	f:Spongiibacteraceae
ASV3841	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	NA	g:Mesorhizobium
ASV3842	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	peoriae/polymyxa	Paenibacillus peoriae/polymyxa
ASV3843	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV3844	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	c:Actinobacteria
ASV3845	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	g:Iamia
ASV3846	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	NA	g:Shewanella
ASV3847	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV3848	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA	f:Bacillaceae
ASV3849	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	NA	g:Methyloceanibacter
ASV3850	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA	f:Beijerinckiaceae
ASV3851	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	f:Gemmataceae
ASV3852	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales_fa	Cryptanaerobacter	NA	g:Cryptanaerobacter
ASV3853	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	paraffinivorans	Gordonia paraffinivorans
ASV3854	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Pseudobacteroides	NA	g:Pseudobacteroides
ASV3855	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	NA	g:Salinispora
ASV3856	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	g:Peredibacter
ASV3857	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV3858	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV3859	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	f:Caldilineaceae
ASV3860	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Phocoenobacter	NA	g:Phocoenobacter
ASV3861	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	NA	g:OM60(NOR5)_clade
ASV3862	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	g:Peredibacter
ASV3863	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	NA	NA	f:Ectothiorhodospiraceae
ASV3864	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	g:Lactococcus
ASV3865	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_12	NA	g:Clostridium_sensu_stricto_12
ASV3866	Bacteria	Firmicutes	Thermovenabulia	Thermovenabulales	Thermovenabulales_fa	Tepidanaerobacter	NA	g:Tepidanaerobacter
ASV3867	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV3868	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	g:Roseomonas
ASV3869	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	f:Micromonosporaceae
ASV3870	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	NA	g:Nonomuraea
ASV3871	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	f:Clostridiaceae
ASV3872	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV3873	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV3874	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	NA	g:Geobacillus
ASV3875	Bacteria	Firmicutes	Clostridia	Caldicoprobacterales	Caldicoprobacteraceae	Caldicoprobacter	NA	g:Caldicoprobacter
ASV3876	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	f:Mitochondria
ASV3877	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV3878	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV3879	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Hypnocyclicus	NA	g:Hypnocyclicus
ASV3880	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV3881	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	NA	g:Halioglobus
ASV3882	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	g:Bifidobacterium
ASV3883	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	NA	g:Halioglobus
ASV3884	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA	g:Haliangium
ASV3885	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	NA	NA	f:Desulfobulbaceae
ASV3886	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA	f:DEV007
ASV3887	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV3888	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	NA	g:Glutamicibacter
ASV3890	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccus	NA	g:Porticoccus
ASV3891	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA	o:EC3
ASV3892	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	NA	NA	f:Legionellaceae
ASV3893	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	NA	g:Sva0996_marine_group
ASV3894	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	f:JG30-KF-CM45
ASV3895	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	NA	g:Peptococcus
ASV3897	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	NA	g:Duganella
ASV3898	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	NA	NA	f:Legionellaceae
ASV3899	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	g:Coxiella
ASV3900	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA	g:Pirellula
ASV3901	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	NA	g:OM60(NOR5)_clade
ASV3902	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV3903	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	NA	c:KD4-96
ASV3904	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	NA	g:Halioglobus
ASV3905	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	NA	NA	NA	o:Micavibrionales
ASV3906	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	f:Caldilineaceae
ASV3907	Bacteria	Firmicutes	Limnochordia	Limnochordia_or	Limnochordia_fa	Hydrogenispora	NA	g:Hydrogenispora
ASV3908	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aurantimonas	NA	g:Aurantimonas
ASV3909	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	KCLunmb-38-53	NA	NA	f:KCLunmb-38-53
ASV3910	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus	NA	g:Candidatus_Nitrosopumilus
ASV3911	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter	lekithochrous	Poseidonibacter lekithochrous
ASV3912	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA	g:Clostridium_sensu_stricto_1
ASV3916	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	NA	g:Sulfurovum
ASV3917	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA	g:Paenibacillus
ASV3918	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	g:Hyphomicrobium
ASV3919	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV3922	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Maritalea	NA	g:Maritalea
ASV3923	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV3924	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	glacincola	Psychrobacter glacincola
ASV3925	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	NA	c:KD4-96
ASV3926	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivita	NA	g:Marivita
ASV3927	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV3928	Bacteria	Firmicutes	Clostridia	Thermincolales	Thermincolaceae	Thermincola	NA	g:Thermincola
ASV3929	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella	NA	g:Yoonia-Loktanella
ASV3930	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	g:Craurococcus-Caldovatus
ASV3931	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA	f:Puniceicoccaceae
ASV3932	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA	f:Rubinisphaeraceae
ASV3933	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA	g:Fuerstia
ASV3934	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA	o:Planctomycetales
ASV3935	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	g:Bacillus
ASV3936	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	NA	g:Arenicella
ASV3937	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	NA	g:Parviterribacter
ASV3938	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV3939	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	g:Pseudomonas
ASV3940	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	g:Corynebacterium
ASV3941	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	g:Devosia
ASV3942	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thiomicrorhabdus	NA	g:Thiomicrorhabdus
ASV3943	Bacteria	Latescibacterota	NA	NA	NA	NA	NA	p:Latescibacterota
ASV3944	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	NA	g:Aeribacillus
ASV3945	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	NA	c:KD4-96
ASV3946	Bacteria	Verrucomicrobiota	Kiritimatiellae	NA	NA	NA	NA	c:Kiritimatiellae
ASV3947	Bacteria	Verrucomicrobiota	Verrucomicrobiae	LD1-PB3	NA	NA	NA	o:LD1-PB3
ASV3948	Bacteria	Acidobacteriota	Subgroup_22	NA	NA	NA	NA	c:Subgroup_22
ASV3949	Bacteria	Firmicutes	Limnochordia	Limnochordia_or	Limnochordia_fa	Hydrogenispora	NA	g:Hydrogenispora
ASV3950	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	g:Hyphomicrobium
ASV3951	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	NA	f:SAR116_clade
ASV3952	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	f:67-14
ASV3953	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV3954	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	formosensis/plantaginis	Cohnella formosensis/plantaginis
ASV3955	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Caminicellaceae	Caminicella	NA	g:Caminicella
ASV3956	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	NA	NA	NA	o:Subgroup_17
ASV3957	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA	g:Desulfobulbus
ASV3958	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA	NA	f:Arcobacteraceae
